iter	Passed	Remaining
716	2050	809
717	2053	806
718	2056	803
719	2058	800
720	2061	797
721	2064	794
722	2067	792
723	2070	789
724	2073	786
725	2075	783
726	2078	780
727	2081	777
728	2084	774
729	2087	772
730	2090	769
731	2093	766
732	2096	763
733	2099	760
734	2102	757
735	2104	755
736	2107	752
737	2110	749
738	2113	746
739	2116	743
740	2119	740
741	2122	737
742	2125	735
743	2127	732
744	2130	729
745	2133	726
746	2135	723
747	2138	720
748	2141	717
749	2144	714
750	2146	711
751	2149	709
752	2152	706
753	2155	703
754	2158	700
755	2161	697
756	2164	694
757	2167	691
758	2170	689
759	2173	686
760	2176	683
761	2178	680
762	2181	677
763	2184	674
764	2186	671
765	2189	668
766	2192	666
767	2195	663
768	2198	660
769	2201	657
770	2204	654
771	2207	651
772	2209	648
773	2212	646
774	2215	643
775	2218	640
776	2221	637
777	2223	634
778	2226	631
779	2229	628
780	2232	625
781	2235	623
782	2238	620
783	2241	617
784	2244	614
785	2247	611
786	2249	608
787	2253	606
788	2256	603
789	2259	600
790	2261	597
791	2264	594
792	2267	591
793	2270	588
794	2273	586
795	2275	583
796	2278	580
797	2281	577
798	2284	574
799	2287	571
800	2289	568
801	2292	566
802	2295	563
803	2298	560
804	2301	557
805	2303	554
806	2306	551
807	2309	548
808	2312	545
809	2315	543
810	2318	540
811	2320	537
812	2323	534
813	2326	531
814	2329	528
815	2332	525
816	2335	523
817	2338	520
818	2341	517
819	2343	514
820	2346	511
821	2349	508
822	2352	505
823	2355	503
824	2357	500
825	2360	497
826	2363	494
827	2366	491
828	2369	488
829	2372	485
830	2375	483
831	2377	480
832	2380	477
833	2383	474
834	2385	471
835	2388	468
836	2391	465
837	2394	462
838	2396	459
839	2399	457
840	2402	454
841	2405	451
842	2408	448
843	2411	445
844	2414	442
845	2417	440
846	2420	437
847	2422	434
848	2425	431
849	2428	428
850	2431	425
851	2434	422
852	2436	419
853	2440	417
854	2443	414
855	2445	411
856	2448	408
857	2451	405
858	2454	402
859	2456	399
860	2459	397
861	2462	394
862	2464	391
863	2467	388
864	2470	385
865	2473	382
866	2476	379
867	2479	377
868	2482	374
869	2485	371
870	2488	368
871	2490	365
872	2493	362
873	2496	359
874	2499	357
875	2502	354
876	2504	351
877	2508	348
878	2510	345
879	2513	342
880	2516	339
881	2519	337
882	2522	334
883	2524	331
884	2527	328
885	2530	325
886	2533	322
887	2536	319
888	2539	317
889	2542	314
890	2544	311
891	2548	308
892	2550	305
893	2553	302
894	2556	299
895	2559	297
896	2562	294
897	2564	291
898	2567	288
899	2570	285
900	2573	282
901	2575	279
902	2578	277
903	2581	274
904	2584	271
905	2587	268
906	2590	265
907	2592	262
908	2595	259
909	2598	256
910	2601	254
911	2604	251
912	2606	248
913	2609	245
914	2612	242
915	2615	239
916	2618	236
917	2621	234
918	2623	231
919	2626	228
920	2629	225
921	2632	222
922	2635	219
923	2637	216
924	2641	214
925	2644	211
926	2647	208
927	2649	205
928	2652	202
929	2655	199
930	2658	197
931	2660	194
932	2663	191
933	2666	188
934	2669	185
935	2672	182
936	2675	179
937	2677	177
938	2680	174
939	2683	171
940	2686	168
941	2689	165
942	2691	162
943	2694	159
944	2697	156
945	2700	154
946	2702	151
947	2705	148
948	2708	145
949	2711	142
950	2714	139
951	2716	136
952	2719	134
953	2722	131
954	2725	128
955	2728	125
956	2730	122
957	2733	119
958	2736	116
959	2739	114
960	2742	111
961	2744	108
962	2747	105
963	2750	102
964	2753	99
965	2756	97
966	2759	94
967	2761	91
968	2764	88
969	2767	85
970	2770	82
971	2773	79
972	2776	77
973	2778	74
974	2781	71
975	2784	68
976	2787	65
977	2790	62
978	2793	59
979	2795	57
980	2798	54
981	2801	51
982	2804	48
983	2807	45
984	2809	42
985	2812	39
986	2815	37
987	2818	34
988	2821	31
989	2823	28
990	2826	25
991	2829	22
992	2832	19
993	2835	17
994	2838	14
995	2840	11
996	2843	8
997	2846	5
998	2849	2
999	2852	0
